ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?","Sold individually?",Virtual,Downloadable,"Regular price","Sale price",Categories,Tags,Position,"Meta: _dmc_calc"
,simple,GP-10,"Google Play — 10 $ (US)",1,1,visible,"Code Google Play de 10 $, région États-Unis.","<p>Carte cadeau Google Play de 10 $ (compte Google en région US). Le code est affiché après paiement et conservé dans votre espace client.</p>",none,1,1,1,0,1450,,"Gift Card","google-play, gift-card",1,
,simple,IT-10,"iTunes / App Store — 10 $ (US)",1,0,visible,"Code App Store & iTunes de 10 $, région États-Unis.","<p>Carte cadeau App Store & iTunes de 10 $ (compte Apple en région US).</p>",none,1,1,1,0,1450,,"Gift Card","itunes, apple, gift-card",2,
,simple,PSN-10,"PlayStation Store — 10 $ (US)",1,0,visible,"Code PlayStation Store de 10 $, région États-Unis.","<p>Carte PlayStation Store de 10 $ (compte PSN en région US).</p>",none,1,1,1,0,1500,,"Gift Card","playstation, gift-card",3,
,simple,STEAM-10,"Steam — 10 $ (US)",1,0,visible,"Code Steam de 10 $, région États-Unis.","<p>Carte cadeau Steam de 10 $ (compte Steam en région US).</p>",none,1,1,1,0,1500,,"Gift Card","steam, gift-card",4,
,simple,AMZ-25,"Amazon — 25 $ (US)",1,0,visible,"Carte cadeau Amazon.com de 25 $.","<p>Carte cadeau Amazon.com de 25 $ (utilisable sur amazon.com).</p>",none,1,1,1,0,3500,,"Gift Card","amazon, gift-card",5,
,simple,USDT-10,"Achat USDT — 10 USDT (via MonCash)",1,1,visible,"Recevez 10 USDT (TRC20) contre un paiement MonCash.","<p>Échange MonCash vers USDT. Indiquez votre adresse USDT (réseau TRC20) : le transfert est effectué après vérification du paiement, généralement sous 30 minutes.</p>",none,1,1,1,0,1450,,Échanges,"usdt, moncash, crypto, echanges",1,"{""enabled"":1,""fields"":[{""id"":""usdt_address"",""label"":""Adresse USDT (TRC20)"",""type"":""text"",""required"":1,""placeholder"":""T..."",""pattern"":""T[A-Za-z0-9]{33}"",""description"":""Adresse commençant par T, 34 caractères. Une adresse erronée entraîne la perte des fonds.""},{""id"":""moncash_number"",""label"":""Numéro MonCash utilisé"",""type"":""tel"",""required"":1,""placeholder"":""509 XX XX XX XX""}]}"
,simple,WAL-500,"Recharge Delicat Wallet — 500 G",1,0,visible,"Créditez 500 G sur votre Delicat Wallet.","<p>Recharge de votre solde Delicat Wallet. Le crédit apparaît sur votre compte dès la confirmation du paiement.</p>",none,1,1,1,0,500,,Échanges,"wallet, echanges",2,
,simple,DIGI-100,"Recharge Digicel — 100 G",1,0,visible,"100 G de crédit Digicel envoyés immédiatement.","<p>Recharge Digicel de 100 G sur le numéro indiqué.</p>",none,1,1,1,0,105,,Mobile,"digicel, mobile",1,"{""enabled"":1,""fields"":[{""id"":""phone_number"",""label"":""Numéro Digicel à recharger"",""type"":""tel"",""required"":1,""placeholder"":""509 XX XX XX XX"",""pattern"":""[0-9 +]{8,16}""}]}"
,simple,NAT-250,"Recharge Natcom — 250 G",1,0,visible,"250 G de crédit Natcom envoyés immédiatement.","<p>Recharge Natcom de 250 G sur le numéro indiqué.</p>",none,1,1,1,0,260,,Mobile,"natcom, mobile",2,"{""enabled"":1,""fields"":[{""id"":""phone_number"",""label"":""Numéro Natcom à recharger"",""type"":""tel"",""required"":1,""placeholder"":""509 XX XX XX XX"",""pattern"":""[0-9 +]{8,16}""}]}"
,simple,TT-1000,"TikTok — 1 000 abonnés",1,0,visible,"Boostez votre compte TikTok avec 1 000 abonnés.","<p>Service de visibilité TikTok : 1 000 abonnés livrés progressivement sur le profil indiqué (compte public requis).</p>",none,1,1,1,0,1200,,"Réseaux sociaux","tiktok, reseaux-sociaux",1,"{""enabled"":1,""fields"":[{""id"":""profile_url"",""label"":""Lien du profil TikTok"",""type"":""url"",""required"":1,""placeholder"":""https://www.tiktok.com/@pseudo"",""description"":""Le compte doit être public pendant la livraison.""}]}"
